state,county,spectral_radius,leak_rate,input_scaling,n_res,sparsity,ridge_lambda,lag,washout,test_weeks,warmup_steps,noise,scale_option,seed,deterministic,trim_threshold,horizon_weeks,updated_at
CA,San Diego,1.0,0.7,0.8,600,0.05,0.32,52,24,52,50,0.0,True,42,True,0,4,1757350514
CA,Alameda,1.1,0.35,0.5,600,0.08,0.38,52,12,52,50,0.0,True,42,True,1,4,1757351787
CA,Los Angeles,0.9,0.4,0.6,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1757355902
CA,Riverside,1.25,0.4,0.7,600,0.1,0.32,52,24,52,50,0.0,True,42,True,16,4,1757356568
CA,San Bernardino,0.9,0.7,1.3,600,0.1,0.1,52,12,52,50,0.0,True,42,True,10,4,1757356921
CA,Fresno,0.9,0.7,0.8,600,0.1,0.16,52,24,52,24,0.0,True,42,True,10,4,1757429478
CA,Siskiyou,1.75,0.5,2.4,300,0.1,0.23,52,12,52,50,0.0,True,42,True,10,4,1757449964
CA,Amador,0.7,0.8,0.3,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1758051849
MT,Missoula,0.3,0.25,0.4,600,0.07,0.1,52,24,52,24,0.0,True,42,True,10,4,1762203900
MT,Glacier,0.75,0.4,0.6,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762203926
MT,Yellowstone,0.9,0.4,0.6,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762203959
MT,Lincoln,0.5,0.35,1.3,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762204028
MT,Roosevelt,0.5,0.2,0.4,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762204080
MT,Flathead,0.35,0.3,0.7,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762204348
MT,Big Horn,0.75,0.4,0.6,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762204384
MT,Ravalli,0.65,0.35,0.4,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762204539
AZ,Coconino,0.55,0.3,0.4,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762205527
AZ,Gila,0.55,0.2,0.9,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762205656
AZ,Navajo,0.6,0.4,0.6,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762205733
AZ,Mohave,0.7,0.3,0.6,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762205795
AZ,Yavapai,0.6,0.4,0.7,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762205827
AZ,Apache,0.55,0.25,0.5,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762205870
AZ,Maricopa,0.55,0.1,0.2,450,0.09,0.48,52,24,52,24,0.0,True,42,True,10,4,1762206001
AZ,Pinal,0.8,0.4,0.6,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1762206020
