state,spectral_radius,leak_rate,input_scaling,n_res,sparsity,ridge_lambda,lag,washout,test_weeks,warmup_steps,noise,scale_option,seed,deterministic,trim_threshold,horizon_weeks,updated_at
MT,0.6,0.45,0.1,600,0.11,0.4,52,24,52,50,0.0,True,42,True,10,4,1757963872
AZ,0.3,0.1,1.3,300,0.1,0.43,52,50,52,24,0.0,True,42,True,10,4,1757964101
OR,0.8,0.85,0.3,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1757964167
WA,0.6,0.25,0.5,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1757964215
ID,0.8,0.2,1.0,600,0.1,0.43,52,24,52,24,0.0,True,42,True,10,4,1757964324
UT,0.65,0.4,0.5,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1757964373
TX,0.9,0.4,0.6,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1757964391
CO,0.65,0.4,0.7,600,0.1,0.1,52,24,52,24,0.0,True,42,True,10,4,1757964417
NM,0.3,0.75,0.6,600,0.1,0.37,52,24,52,24,0.0,True,42,True,10,4,1757964534
CA,0.65,0.4,0.6,600,0.1,0.32,52,24,52,24,0.0,True,42,True,10,4,1758046605
