week_start,CA|Los Angeles|Part1,CA|Los Angeles|Part2,CA|Los Angeles|Part3,CA|Los Angeles|Part4
2014-04-08,0,1,0,0
2014-04-15,0,0,1,0
2014-04-22,0,0,0,0
2014-04-29,0,0,0,0
2014-05-06,0,0,1,0
2014-05-13,0,0,0,1
2014-05-20,1,0,0,0
2014-05-27,1,0,6,0
2014-06-03,1,0,3,0
2014-06-10,0,1,1,0
2014-06-17,0,2,4,1
2014-06-24,2,0,2,0
2014-07-01,2,0,1,0
2014-07-08,1,0,1,1
2014-07-15,0,0,4,0
2014-07-22,0,0,1,0
2014-07-29,0,0,1,0
2014-08-05,5,0,2,0
2014-08-12,2,0,0,0
2014-08-19,2,0,1,0
2014-08-26,0,0,2,0
2014-09-02,1,0,2,1
2014-09-09,1,0,0,0
2014-09-16,2,1,1,0
2014-09-23,0,0,0,0
2014-09-30,1,0,0,0
2014-10-07,1,0,0,0
2014-10-14,0,0,0,0
2014-10-21,0,0,4,0
2014-10-28,0,1,0,0
2014-11-04,1,0,4,0
2014-11-11,0,0,0,1
2014-11-18,1,1,2,1
2014-11-25,1,2,2,0
2014-12-02,0,0,0,0
2014-12-09,0,0,0,0
2014-12-16,1,0,0,0
2014-12-23,3,0,1,0
2014-12-30,0,0,0,0
2015-01-06,1,0,0,0
2015-01-13,0,1,0,0
2015-01-20,0,0,0,0
2015-01-27,0,0,0,0
2015-02-03,0,0,2,0
2015-02-10,0,0,0,0
2015-02-17,0,0,0,0
2015-02-24,0,0,1,0
2015-03-03,0,0,1,0
2015-03-10,0,0,1,0
2015-03-17,0,0,0,0
2015-03-24,2,0,0,0
2015-03-31,1,0,4,0
2015-04-07,0,0,3,0
2015-04-14,1,1,2,0
2015-04-21,1,0,0,0
2015-04-28,3,0,3,0
2015-05-05,0,0,1,0
2015-05-12,1,0,0,0
2015-05-19,0,0,2,0
2015-05-26,0,0,0,0
2015-06-02,0,1,1,0
2015-06-09,0,0,1,0
2015-06-16,0,0,2,0
2015-06-23,1,0,4,0
2015-06-30,1,0,1,0
2015-07-07,1,0,4,0
2015-07-14,1,0,3,0
2015-07-21,0,0,0,0
2015-07-28,0,2,1,0
2015-08-04,0,0,1,0
2015-08-11,2,0,4,0
2015-08-18,0,0,1,0
2015-08-25,0,3,0,0
2015-09-01,1,0,2,0
2015-09-08,0,0,0,0
2015-09-15,0,0,2,0
2015-09-22,0,0,1,0
2015-09-29,0,0,3,0
2015-10-06,0,0,3,0
2015-10-13,1,0,0,0
2015-10-20,1,0,1,0
2015-10-27,1,0,1,0
2015-11-03,0,0,2,0
2015-11-10,0,0,4,1
2015-11-17,0,0,1,0
2015-11-24,0,0,1,0
2015-12-01,1,0,2,0
2015-12-08,0,1,2,0
2015-12-15,0,0,0,0
2015-12-22,0,0,1,0
2015-12-29,1,0,1,0
2016-01-05,0,0,0,0
2016-01-12,0,0,0,0
2016-01-19,0,0,1,0
2016-01-26,1,1,0,0
2016-02-02,0,0,0,0
2016-02-09,0,0,0,0
2016-02-16,0,0,0,0
2016-02-23,0,0,1,0
2016-03-01,0,0,0,0
2016-03-08,0,0,0,0
2016-03-15,2,0,0,0
2016-03-22,0,0,0,0
2016-03-29,0,0,0,0
2016-04-05,0,0,0,0
2016-04-12,0,0,1,0
2016-04-19,0,0,1,0
2016-04-26,0,0,0,0
2016-05-03,0,0,0,0
2016-05-10,0,0,0,0
2016-05-17,0,0,4,0
2016-05-24,0,0,1,1
2016-05-31,2,0,2,0
2016-06-07,0,0,2,0
2016-06-14,4,0,2,0
2016-06-21,0,0,0,0
2016-06-28,0,0,0,0
2016-07-05,2,0,1,1
2016-07-12,1,1,0,0
2016-07-19,0,1,3,0
2016-07-26,0,1,0,0
2016-08-02,0,0,2,0
2016-08-09,0,0,1,0
2016-08-16,1,0,0,0
2016-08-23,0,0,1,0
2016-08-30,1,0,1,0
2016-09-06,1,0,1,0
2016-09-13,0,0,0,0
