state,state_name,total_till_date,color,last_obs_week_start,last_obs_week_end,last_obs_week_count,last_obs_month_start,last_obs_month_end,last_obs_month_count,next_week_start,next_week_end,next_week_forecast,next_month_start,next_month_end,next_month_forecast
AZ,Arizona,23247,g,2025-10-06,2025-10-12,7,2025-09-15,2025-10-12,129,2025-10-13,2025-10-19,18,2025-11-01,2025-11-30,37
CA,California,100494,g,2025-10-06,2025-10-12,87,2025-09-15,2025-10-12,766,2025-10-13,2025-10-19,103,2025-11-01,2025-11-30,892
CO,Colorado,12543,g,2025-10-06,2025-10-12,5,2025-09-15,2025-10-12,92,2025-10-13,2025-10-19,5,2025-11-01,2025-11-30,20
ID,Idaho,14835,g,2025-10-06,2025-10-12,4,2025-09-15,2025-10-12,81,2025-10-13,2025-10-19,4,2025-11-01,2025-11-30,16
MT,Montana,24295,g,2025-10-06,2025-10-12,3,2025-09-15,2025-10-12,108,2025-10-13,2025-10-19,16,2025-11-01,2025-11-30,76
NM,New Mexico,12239,g,2025-10-06,2025-10-12,1,2025-09-15,2025-10-12,38,2025-10-13,2025-10-19,5,2025-11-01,2025-11-30,27
OR,Oregon,22245,y,2025-10-06,2025-10-12,10,2025-09-15,2025-10-12,165,2025-10-13,2025-10-19,62,2025-11-01,2025-11-30,171
TX,Texas,13473,y,2025-10-06,2025-10-12,6,2025-09-15,2025-10-12,130,2025-10-13,2025-10-19,29,2025-11-01,2025-11-30,281
UT,Utah,14057,g,2025-10-06,2025-10-12,4,2025-09-15,2025-10-12,135,2025-10-13,2025-10-19,4,2025-11-01,2025-11-30,16
WA,Washington,18673,g,2025-10-06,2025-10-12,13,2025-09-15,2025-10-12,110,2025-10-13,2025-10-19,13,2025-11-01,2025-11-30,52
